catalog,group,name
1,362,1 флорин
2,362,1 флорин
12,389,1 флорин
13,362,1 доллар
19,362,1 доллар
20,362,1 доллар
21,362,1 доллар
24,625,20 капик
27,395,100 эскудо
28,395,100 эскудо
29,362,1 крона
30,362,1 пенни
32,362,1 пенни
35,362,1 пенни
37,362,1 доллар
44,362,1 доллар
46,362,1 доллар
49,362,1 доллар
53,362,1 доллар
54,362,1 доллар
60,362,1 доллар
62,362,1 доллар
66,362,5 долларов
67,362,5 долларов
71,431,1 эскудо
72,431,1 эскудо
73,431,10 сентаво
74,431,10 эскудо
75,431,10 эскудо
79,376,1 доллар
80,376,1 доллар
82,376,1 цент
83,376,1 цент
85,376,10 долларов
89,376,5 долларов
94,376,5 долларов
96,376,5 долларов
97,376,10 центов
98,376,10 центов
101,376,2 доллара
102,376,2 доллара
103,376,2 доллара
104,376,5 центов
105,376,5 центов
106,376,5 центов
107,376,50 центов
108,376,25 центов
109,376,25 центов
110,376,25 центов
111,394,1 франк
112,394,1 франк
114,419,1 доллар
115,419,1 доллар
117,419,1 доллар
119,419,1 доллар
121,419,1 доллар
123,419,1 доллар
124,419,1 доллар
125,419,1 доллар
129,419,1 доллар
132,419,1 доллар
134,419,1 доллар
136,419,1 доллар
137,419,1 доллар
138,419,1 доллар
139,419,1 доллар
140,419,1 доллар
142,419,1 доллар
144,419,1 доллар
145,419,1 доллар
147,419,1 доллар
148,419,1 доллар
150,419,1 доллар
151,419,1 доллар
155,419,1 доллар
156,419,1 доллар
157,419,1 доллар
158,419,1 доллар
159,419,1 доллар
160,733,2 риала
165,630,2 фунта
166,630,2 фунта
168,630,2 фунта
169,630,2 фунта
170,630,2 фунта
173,630,2 фунта
174,630,2 фунта
175,630,2 фунта
176,630,2 фунта
177,630,5 фунтов
178,630,5 фунтов
180,630,5 фунтов
181,630,5 фунтов
182,630,5 фунтов
183,630,5 фунтов
185,518,1 динар
186,518,1 динар
187,518,1 динар
188,518,1 динар
190,518,1 сантим
192,518,1/4 буджу
193,518,10 динар
194,518,10 динар
198,518,100 динар
200,518,100 франков
201,518,2 динара
203,518,20 динар
205,518,20 сантим
206,518,20 сантим
207,518,20 франков
209,518,5 динар
210,518,5 динар
211,518,5 динар
215,518,50 динар
216,518,50 франков
217,518,50 сантим
218,518,50 сантим
219,518,50 сантим
221,939,1 талер
231,633,1 гульден
232,633,1 крейцер
233,633,1 крейцер
234,633,1 пфенниг
236,633,1 талер
238,633,1 талер
239,633,1 талер
240,633,1 талер
241,633,1/2 гульдена
242,633,1/2 крейцера
245,633,2 гульдена
246,633,2 марки
247,633,2 марки
248,633,2 пфеннига
249,633,20 крейцеров
250,633,3 марки
251,633,3 марки
252,633,3 марки
253,703,1 грош
254,703,1 грош
256,703,1 пфенниг
260,703,1 талер
265,703,1 талер
266,703,1 талер
267,703,1/2 гроша
269,703,1/6 талера
271,703,2 пфеннига
272,703,2 пфеннига
274,703,2 гроша
275,703,2/3 талера
276,703,2/3 талера
278,703,3 марки
282,703,5 марок
283,703,5 марок
284,703,5 пфеннигов
286,702,1 грош
288,702,1 пфенниг
289,702,1 талер
291,702,1 талер
293,702,1 талер
297,702,1/24 талера
300,702,2 пфеннига
303,703,1 грош
304,795,1 крейцер
307,795,1/2 гульдена
308,795,2 марки
310,795,3 крейцера
311,795,3 марки
313,795,5 марок
314,795,5 марок
316,633,30 крейцеров
317,633,5 марок
318,633,5 марок
319,633,5 марок
322,561,1 деньга
323,561,1 деньга
325,561,1 деньга
326,561,1 деньга
327,561,1 деньга
329,561,1 копейка
330,561,1 копейка
331,561,1 копейка
332,561,1 копейка
333,561,1 копейка
334,561,1 копейка
335,561,1 полтина
337,561,1 полушка
339,561,1 рубль
340,561,1 рубль
341,561,1 рубль
342,561,10 копеек
343,562,1 рубль
344,562,1 рубль
345,562,5 копеек
346,563,5 копеек
348,563,1 рубль
350,563,1 рубль
425,564,1 полтина
427,564,1 полтина
429,564,1 рубль
430,564,1 рубль
431,564,1 рубль
432,710,1 гульден
434,710,1 крейцер
435,710,1/2 крейцера
436,710,2 марки
438,710,2 марки
439,710,3 крейцера
440,710,3 марки
442,710,5 марок
443,804,1/2 пайса
444,521,10 филс
445,521,10 филс
446,521,100 филс
447,521,100 филс
451,521,250 филс
452,521,5 динар
453,521,5 динар
454,521,5 филс
455,521,5 филс
456,521,50 филс
457,521,50 филс
458,521,500 филс
462,679,1 батзен
465,362,1 флорин
466,362,1 флорин
467,362,1 цент
469,574,1 пенни
470,574,1 рубль
471,574,1 рубль
473,574,1 рубль
476,574,10 копеек
477,574,10 пенни
478,574,10 пенни
479,574,15 копеек
483,574,25 пенни
486,574,5 копеек
487,574,50 копеек
488,574,50 пенни
489,574,7 рублей 50 копеек
490,566,1 гривенник
491,566,1 деньга
492,566,1 деньга
493,566,1 копейка
495,566,1 полуполтинник
496,566,1 полуполтинник
497,566,1 полушка
498,566,1 рубль
499,566,1 рубль
500,566,1 рубль
502,566,2 копейки
503,566,2 копейки
504,566,4 копейки
505,566,5 копеек
506,566,5 копеек
507,567,1 рубль
510,362,10 долларов
514,362,10 долларов
515,362,10 долларов
516,362,10 долларов
518,362,10 долларов
519,362,10 долларов
520,362,10 долларов
523,362,10 долларов
524,362,10 долларов
525,362,10 долларов
526,362,10 долларов
527,362,10 долларов
528,362,10 долларов
529,362,10 долларов
530,484,1 доллар
531,484,1 доллар
534,484,1 доллар
535,484,1 доллар
536,484,1 доллар
537,484,1 доллар
538,484,1 пенни
540,484,1 пенни
541,484,1 пенни
543,484,1 пенни
544,484,1 фартинг
545,484,1 фартинг
546,484,1 цент
547,484,1 цент
548,484,1/2 пенни
550,484,1/2 пенни
551,484,1/2 пенни
552,484,10 долларов
556,484,10 долларов
557,484,10 долларов
558,484,10 долларов
559,484,10 долларов
561,484,10 долларов
562,484,10 долларов
563,484,10 долларов
566,484,10 центов
567,484,10 центов
568,484,20 долларов
569,484,20 центов
571,484,20 центов
572,484,25 долларов
573,484,25 долларов
575,484,25 долларов
576,484,25 долларов
578,484,25 долларов
580,484,25 центов
581,484,25 центов
582,484,25 центов
583,484,25 центов
584,484,5 долларов
585,484,5 долларов
587,484,5 долларов
588,484,5 центов
589,484,5 центов
591,484,5 шиллингов
593,484,50 центов
594,484,50 центов
595,484,50 центов
598,535,1 динар
600,421,1 доллар
601,421,1 доллар
602,421,1 доллар
603,421,1 цент
604,421,10 центов
605,421,100 центов
606,421,25 центов
607,421,5 центов
608,421,50 центов
609,722,1 крона
610,722,1 крона
611,722,25 пенсов
612,722,25 пенсов
615,722,50 пенсов
616,722,50 пенсов
620,385,1 доллар
621,385,1 доллар
622,385,1 цент
623,385,1 цент
624,385,1 цент
625,385,1 цент
628,385,10 долларов
629,385,10 долларов
630,385,10 центов
631,385,10 центов
632,385,15 центов
635,385,2 доллара
636,385,2 доллара
637,385,2 доллара
638,385,2 доллара
639,385,2 доллара
640,385,2 доллара
642,385,25 центов
644,385,25 долларов
645,385,25 центов
647,385,25 центов
648,385,25 центов
649,385,5 долларов
650,385,5 долларов
651,385,5 долларов
653,385,5 долларов
654,385,5 долларов
655,385,5 долларов
656,385,5 центов
657,385,15 центов
658,385,50 центов
659,385,50 центов
660,385,15 центов
663,614,1 крона
664,614,1 крона
666,614,10 крон
670,614,20 крон
677,614,20 крон
680,614,20 крон
690,614,20 крон
704,532,1 копейка
705,532,10 копеек
707,678,1/2 пенни
712,615,1 цент
713,615,1 цент
714,615,1 цент
715,615,1 цент
716,615,1 цент
717,615,1 доллар
719,615,1 доллар
728,615,1 доллар
731,615,1 доллар
735,615,1 доллар
742,615,1 доллар
743,615,1 доллар
744,615,1 доллар
747,615,1 доллар
748,615,1 доллар
749,615,1 доллар
751,615,1 доллар
753,615,10 долларов
754,615,10 долларов
756,615,10 долларов
759,615,10 долларов
760,615,10 долларов
763,615,2 цента
764,615,20 пенсов
765,615,20 центов
767,615,5 центов
768,615,5 центов
769,615,5 центов
771,615,50 центов
775,849,20 рублей
777,849,20 рублей
779,744,5 долларов
780,741,1 доллар
784,673,25 пенсов
785,673,50 пенсов
787,673,50 пенсов
788,673,50 пенсов
790,397,2 фунта
791,397,2 фунта
792,397,2 фунта
793,397,2 фунта
795,397,2 фунта
797,397,2 фунта
798,397,2 фунта
799,397,2 фунта
800,397,2 фунта
801,397,2 фунта
802,397,2 фунта
803,397,2 фунта
804,397,2 фунта
805,397,2 фунта
807,757,4 пенса
808,757,4 пенса
810,391,1 франк
811,391,1 франк
812,391,10 франков
813,391,10 франков
814,391,200 франков
815,391,5 франков
816,391,5 франков
817,391,50 франков
818,391,50 франков
819,391,25 франков
821,391,250 франков
823,418,1 цент
824,418,1 цент
825,418,1 цент
827,418,25 центов
828,402,50 милс
829,402,5 центов
830,402,5 центов
831,581,10 центов
832,581,20 центов
833,581,50 центов
836,425,250 франков
837,425,50 франков
838,425,50 франков
840,425,500 франков
845,750,1/4 евро
846,485,1 песо
847,704,1 крона
848,704,1 крона
849,704,5 крон
853,405,5 евро
854,405,20 крон
857,405,20 крон
859,405,20 крон
861,405,10 крон
862,405,10 крон
864,405,10 крон
865,405,10 крон
867,487,1 фунт
868,487,1 фунт
869,487,1 фунт
870,487,1 шиллинг
872,487,10 пенсов
874,487,10 пенсов
875,532,5 копеек
876,487,10 пенсов
877,532,50 копеек
878,487,3 пенса
880,532,100 рублей
883,532,100 рублей
885,532,100 рублей
886,532,100 рублей
890,532,100 рублей
891,532,100 рублей
892,442,1 сентим
893,442,1 сентим
894,442,1 сентим
895,442,1 сентим
897,504,1 злотый
899,504,1 злотый
900,471,1 цент
904,471,1 цент
910,471,1 цент
911,471,1 доллар
914,471,1 доллар
916,471,1 доллар
917,471,1 доллар
919,471,1 доллар
922,471,1 доллар
923,471,1 доллар
924,471,1 доллар
925,471,1 доллар
927,471,1 доллар
928,471,1 доллар
929,471,1 доллар
931,471,1 доллар
933,471,2 доллара
935,471,10 центов
940,471,10 центов
941,471,10 центов
942,471,10 центов
943,471,25 долларов
944,504,2 злотых
945,471,25 центов
946,471,25 центов
947,471,25 центов
948,471,25 центов
949,471,5 долларов
950,471,5 долларов
951,471,5 центов
953,471,25 центов
954,471,5 центов
955,471,5 центов
956,471,50 центов
973,504,2 злотых
975,504,2 злотых
983,504,2 злотых
994,504,2 злотых
996,504,2 злотых
998,504,2 злотых
999,504,2 злотых
1000,504,2 злотых
1001,504,2 злотых
1004,504,2 злотых
1006,504,1 грош
1009,504,1 грош
1014,504,10 грош
1019,504,10 злотых
1020,504,10 злотых
1022,504,10 злотых
1026,504,10 злотых
1028,504,10 злотых
1030,504,10 злотых
1031,504,10 злотых
1032,504,10 злотых
1033,504,10 злотых
1035,504,10 злотых
1036,504,10 злотых
1038,504,10 злотых
1040,504,10 злотых
1041,504,10 злотых
1043,504,10 злотых
1045,504,100 злотых
1047,504,100 злотых
1048,504,100 злотых
1050,504,100 злотых
1051,504,100 злотых
1052,504,100 злотых
1053,504,100 злотых
1054,504,100 злотых
1055,504,100 злотых
1062,504,100 злотых
1064,504,1000 злотых
1065,504,10000 злотых
1066,504,10000 злотых
1067,504,100000 злотых
1069,504,20 пфеннигов
1071,504,5 пфеннигов
1072,504,50000 злотых
1074,504,2 гроша
1076,504,5 грош
1077,504,5 грош
1079,504,20 грош
1084,504,20 злотых
1085,504,20 злотых
1087,504,20 злотых
1088,504,20 злотых
1089,504,20 злотых
1090,504,20 злотых
1091,504,20 злотых
1092,504,20 злотых
1095,504,200 злотых
1096,504,200 злотых
1097,504,20000 злотых
1098,504,20000 злотых
1099,504,5 злотых
1100,504,5 злотых
1101,504,5 злотых
1102,504,5 злотых
1103,504,5 злотых
1105,504,50 грош
1106,504,50 злотых
1108,504,50 злотых
1109,504,500 злотых
1110,504,500 злотых
1112,535,1 динар
1113,535,1 динар
1114,535,1 динар
1115,535,1 динар
1116,535,1 динар
1117,535,1 динар
1118,535,1 динар
1119,535,1 динар
1120,535,1 динар
1121,535,10 динар
1122,535,10 динар
1123,535,10 динар
1124,535,10 динар
1125,535,10 динар
1126,535,10 динар
1127,535,10 динар
1131,535,10 динар
1132,535,10 пар
1134,535,100 динар
1135,535,100 динар
1136,535,100 динар
1137,535,100 динар
1138,535,100 динар
1139,535,100 динар
1140,535,100 динар
1141,535,100 динар
1142,535,100 динар
1143,535,100 динар
1144,535,1000 динар
1145,535,1000 динар
1148,535,2 динара
1152,535,2 динара
1153,535,2 динара
1154,535,2 динара
1158,535,20 динар
1160,535,20 динар
1161,535,20 динар
1162,535,20 динар
1163,535,20 пар
1166,535,25 пар
1167,535,25 пар
1168,535,5 динар
1171,535,5 динар
1173,535,5 динар
1174,535,5 пар
1176,535,50 динар
1177,535,50 динар
1178,535,50 динар
